page,rank,accessibility_score,performance_score,seo_score,best_practices_score
https://www.massey.ac.nz/,500000,1,0.85,0.92,0.74
https://www.minenergia.gov.co/,500000,0.73,0.68,0.67,0.96
https://trends.google.de/,500000,0.92,0.69,0.92,0.78
https://talkfirst.vn/,500000,0.86,0.46,0.92,0.78
https://www.rwsverkeersinfo.nl/,500000,0.93,0.25,1,0.78
https://jwed.com/,500000,0.68,0.54,0.83,0.48
https://www.livemed.in/,500000,0.85,0.5,0.92,0.78
https://www.opendemocracy.net/,500000,0.86,0.48,0.92,0.56
https://personalkollen.se/,500000,0.54,0.71,0.77,0.78
https://texty.org.ua/,500000,0.75,0.97,1,0.78
https://www.emtek.com/,500000,0.78,0.88,0.91,0.74
https://fckarpaty.org.ua/,500000,0.91,0.64,1,1
https://www.crossbreedholsters.com/,500000,0.92,0.62,0.92,0.59
https://nsmb.com/,500000,0.73,0.48,0.92,0.56
https://duckandwaffle.com/,500000,0.77,0.95,0.92,0.78
https://mag.russpass.ru/,500000,0.88,0.39,1,0.74
https://www.spinneys.com/,500000,0.87,0.34,0.69,0.78
https://www.weenect.com/,500000,0.89,0.68,0.92,1
https://www.oxfam.org.uk/,500000,0.88,0.72,1,0.78
https://www.parsleybox.com/,500000,0.93,0.69,0.92,0.96
https://www.tryloctite.in/,500000,0.73,0.06,0.69,0.67
https://www.colonialwilliamsburg.org/,500000,0.96,0.63,0.85,0.56
https://www.hra.nhs.uk/,500000,0.97,0.62,0.91,0.74
https://aqua.luzhniki.ru/,500000,0.92,0.62,0.92,0.78
https://tv.rik.cy/,500000,0.72,0.68,0.85,1
https://developers.googleblog.com/,500000,1,0.85,0.83,1
https://dailysangram.com/,500000,0.72,0.54,1,0.96
https://www.star-shl.nl/,500000,0.91,0.57,0.85,0.56
https://www.phillyvoice.com/,500000,0.71,0.59,0.85,0.37
https://upmetrorail.com/,500000,0.74,0.17,1,0.52
https://www.stearnsandfoster.com/,500000,0.89,0.5,0.85,0.56
https://mannlif.is/,500000,0.68,0.7,1,1
https://www.onassis.org/,500000,0.85,,0.91,0.56
https://www.si-applications.com/,500000,0.85,0.55,0.75,0.93
https://efteling.ah.nl/,500000,0.8,0.9,0.85,1
https://kidneycareuk.org/,500000,0.91,0.57,0.92,0.56
https://loosedrawing.com/,500000,0.8,0.54,1,0.78
https://www.shakespeare.org.uk/,500000,0.66,0.68,1,0.74
https://kvv.edu.in/,500000,0.87,0.41,1,0.7
https://trends.google.fr/,500000,0.92,0.65,0.92,0.78
https://www.winny.com.co/,500000,0.65,0.23,0.92,0.78
https://www.business-humanrights.org/,500000,0.87,0.48,0.85,0.59
https://www.redlobster.ca/,500000,0.85,0.44,0.83,0.78
https://us.mammotion.com/,500000,0.85,0.55,0.85,0.78
https://trends.google.co.id/,500000,0.92,0.61,0.92,0.78
https://www.circuscircus.com/,500000,0.85,0.7,0.82,0.93
https://utswmed.org/,500000,0.95,0.33,0.92,0.7
https://www.sossomanfh.com/,500000,0.8,0.47,1,0.74
https://www.unisportstore.it/,500000,1,0.59,0.92,0.93
https://www.fertighaus.de/,500000,0.94,0.8,0.92,1
https://tspool.fi/,500000,0.9,0.83,0.91,1
https://electrohold.bg/,500000,0.92,0.24,1,0.78
https://whiteestate.org/,500000,0.65,0.8,0.91,0.96
https://www.putoline.com/,500000,0.8,0.61,0.92,0.96
https://sustainability.google/,500000,1,0.86,0.92,1
https://reformatus.hu/,500000,0.87,0.43,0.92,0.78
https://airshow.com.au/,500000,0.76,0.59,0.91,0.78
https://mywheels.my/,500000,0.64,0.23,0.83,0.52
https://portal.multimarcasconsorcios.com.br/,500000,0.9,0.98,0.75,0.78
https://trends.google.co.kr/,500000,0.92,0.7,0.92,0.78
https://ermzapad.bg/,500000,0.93,0.41,1,0.78
https://www.opera.hu/,500000,0.97,0.15,0.92,1
https://www.werkenbijcoolblue.nl/,500000,0.88,0.51,1,0.74
https://vean-tattoo.com/,500000,0.85,0.39,0.82,0.74
https://visitsweden.com/,500000,1,0.8,0.92,0.78
https://bonikbarta.com/,500000,0.71,0.14,1,0.56
https://ayosehat.kemkes.go.id/,500000,0.82,0.44,1,0.56
https://www.teso.nl/,500000,0.49,0.62,1,1
https://onaplus.delo.si/,500000,0.82,0.74,0.92,0.74
https://tplfvg.it/,500000,0.92,0.52,0.91,0.74
https://galaxyplay.vn/,500000,0.75,0.63,1,0.7
https://www.medborgarskolan.se/,500000,1,0.67,1,0.78
https://www.gosh.nhs.uk/,500000,0.97,0.81,0.92,1
https://www.mplus.org.hk/,500000,0.96,0.46,0.92,0.74
https://www.traintickets.com/,500000,0.85,0.86,0.92,1
https://www.jleague.co/,500000,0.8,0.35,1,0.7
https://boletines.guanajuato.gob.mx/,500000,0.7,0.54,0.85,0.96
https://www.fermimn.edu.it/,500000,0.77,0.7,0.82,0.96
https://research.google/,500000,0.95,0.76,0.92,0.78
https://mhwilds.wiki-db.com/,500000,0.75,0.61,1,0.56
https://www.newamerica.org/,500000,0.82,0.77,0.75,0.74
https://trends.google.es/,500000,0.92,0.69,0.92,0.78
https://www.tubadzin.pl/,500000,0.83,0.52,1,0.78
https://www.fantasyfootballfix.com/,500000,0.72,0.4,0.92,0.74
https://prabhupadavani.org/,500000,0.81,0.89,0.91,0.78
https://racing.nyrabets.com/,500000,0.88,0.56,0.83,0.78
https://toyota.cl/,500000,0.81,0.15,0.85,0.56
https://www.jpl.nasa.gov/,500000,,,,
https://www.ms.ro/,500000,0.74,0.7,1,0.96
https://blog.dentco.tw/,500000,0.95,0.71,1,0.78
https://www.bs-shipmanagement.com/,500000,0.83,0.71,0.92,1
https://www.kannuruniversity.ac.in/,500000,0.78,0.53,0.73,0.93
https://vivetuavalon.com/,500000,0.71,0.54,0.92,0.74
https://www.hcg.gr/,500000,,,,
https://www.wigmore-hall.org.uk/,500000,0.96,0.9,1,1
https://www.escuelaing.edu.co/,500000,0.86,0.43,0.92,0.78
https://www.trailersplus.com/,500000,0.87,0.75,0.92,0.78
https://www.cuh.nhs.uk/,500000,1,0.71,1,1
https://www.supervia.com.br/,500000,0.75,0.28,0.83,0.93
https://medex.am/,500000,1,1,1,0.96
https://www.caltech.edu/,500000,0.88,0.94,0.92,1
https://www.lexbase.fr/,500000,0.69,0.25,0.83,0.81
https://www.nibble.id/,500000,0.7,0.46,0.73,0.52
https://www.centrotranspersonal.com.ar/,500000,0.74,0.57,0.73,0.78
https://www.ergohestia.pl/,500000,0.67,0.6,0.92,0.74
https://detralex.ru/,500000,0.75,0.22,0.83,0.74
https://berniesanders.com/,500000,0.91,0.45,1,0.74
https://www.aquilea.com/,500000,0.85,0.63,0.92,0.59
https://www.onemedical.com/,500000,0.95,0.73,1,0.78
https://www.peacecorps.gov/,500000,0.95,0.62,0.75,0.56
https://madloba.info/,500000,0.82,0.35,0.92,0.59
https://fr.mammotion.com/,500000,0.86,0.33,0.85,0.56
https://www.bebiklub.pl/,500000,1,0.6,0.92,0.81
https://de.mammotion.com/,500000,0.86,0.45,0.85,0.52
https://www.visitstockholm.com/,500000,0.96,0.76,0.92,1
https://ebok.no/,500000,0.81,0.55,0.83,0.78
https://dailynayadiganta.com/,500000,0.84,0.26,0.67,0.74
https://fortevita.ro/,500000,0.83,0.42,0.92,0.78
https://yougov.co.uk/,500000,0.9,0.51,0.92,0.74
https://checkvisaslots.com/,500000,0.82,0.71,0.75,0.7
https://information.monmaster.gouv.fr/,500000,1,0.8,1,0.78
https://www.nyrabets.com/,500000,0.87,0.31,0.83,0.52
https://www.broadway-letchworth.com/,1000000,0.96,0.77,0.92,1
https://rakentaja.fi/,1000000,0.92,0.59,1,0.93
https://ducvps.com/,1000000,0.67,0.24,0.82,0.7
https://www.celiacosmadrid.org/,1000000,0.72,0.58,0.92,0.78
https://taiga.io/,1000000,0.9,0.93,0.92,1
https://trends.google.co.th/,1000000,0.92,0.67,0.92,0.78
https://www.prd.com.au/,1000000,0.78,0.79,1,0.74
https://freeflow.ecoviasnoroestepaulista.com.br/,1000000,0.73,0.66,0.82,0.74
https://colombia.universidadeuropea.com/,1000000,0.79,0.71,0.77,0.78
https://volunteering.oxfam.org.uk/,1000000,0.91,0.51,0.91,0.96
https://www.engineeringnz.org/,1000000,0.84,0.89,0.83,0.74
https://www.raceforthecure.it/,1000000,0.82,0.67,0.92,0.56
https://poliklinika-aviva.hr/,1000000,0.77,0.56,0.91,1
https://www.rnib.org.uk/,1000000,0.96,0.99,1,1
https://wembleypark.com/,1000000,0.86,0.27,0.92,0.52
https://www.toyota-financement.fr/,1000000,0.84,0.36,0.82,0.74
https://dangoscan.com.br/,1000000,0.83,0.95,0.92,1
https://www.hvhl.nl/,1000000,0.96,0.68,1,0.74
https://gagosian.com/,1000000,0.76,0.4,1,1
https://www.barryplant.com.au/,1000000,0.87,0.24,1,0.74
https://www.mycanadapayday.com/,1000000,0.82,0.89,0.92,0.74
https://www.arabella.at/,1000000,0.81,0.75,0.91,0.96
https://www.hydrationforhealth.com/,1000000,0.81,0.74,0.83,0.74
https://mentzen.pl/,1000000,0.89,0.35,1,0.78
https://ung.si/,1000000,1,0.69,1,0.96
https://www.kartoshka.com/,1000000,0.92,0.74,1,0.7
https://water.org/,1000000,0.86,0.69,0.77,0.78
https://rusboxing.ru/,1000000,0.75,0.27,0.82,0.33
https://www.thebritishacademy.ac.uk/,1000000,0.95,0.66,0.92,0.78
https://www.theworldofchinese.com/,1000000,0.73,0.56,0.77,0.59
https://www.emporia.edu/,1000000,0.95,0.37,0.91,0.59
https://artsandsciences.syracuse.edu/,1000000,0.97,0.7,1,0.56
https://lokaalverscadeaukaart.nl/,1000000,0.88,0.51,0.83,0.78
https://visitsweden.fr/,1000000,1,0.74,1,0.78
https://www.lappui.org/,1000000,0.83,0.12,1,0.7
https://ramanujancollege.ac.in/,1000000,0.81,0.55,0.91,0.74
https://rates.ca/,1000000,0.95,0.85,1,0.74
https://www.mynewsjapan.com/,1000000,0.58,0.81,0.82,1
https://uk.mammotion.com/,1000000,0.85,0.32,0.85,0.52
https://www.nibmindia.org/,1000000,0.67,0.35,0.73,0.67
https://mitta.cl/,1000000,0.91,0.3,1,0.56
https://www.equiti.com/,1000000,0.88,0.56,0.92,0.56
https://compab.it/,1000000,0.8,0.61,0.82,1
https://climateactiontracker.org/,1000000,0.75,0.63,0.75,0.78
https://www.toppingbooks.co.uk/,1000000,0.78,0.86,0.91,0.78
https://www.spring-gds.com/,1000000,0.85,0.85,0.85,0.78
https://www.luxaflex.nl/,1000000,0.84,0.65,1,1
https://www.jasper.travel/,1000000,0.89,0.34,0.83,0.52
https://shokan.edu.kz/,1000000,0.81,0.23,0.92,1
https://kadun.ru/,1000000,0.63,0.56,0.83,0.78
https://uz.goodinternet.org/,1000000,0.79,0.86,0.75,0.89
https://navsi200.com/,1000000,0.63,0.53,0.73,1
https://odi.org/,1000000,0.92,0.53,0.92,0.59
https://www.fmf.uni-lj.si/,1000000,0.96,0.78,0.92,1
https://www.arpa.fvg.it/,1000000,0.9,0.52,0.91,1
https://doctora-khv.ru/,1000000,0.91,0.56,0.83,0.78
https://navystavisti.cz/,1000000,0.98,0.69,0.92,0.78
https://www.dailysangram.com/,1000000,0.72,0.56,1,0.96
https://www.nelsonalexander.com.au/,1000000,,0.37,0.92,0.74
https://schoolleaders.thekeysupport.com/,1000000,0.96,0.63,1,0.59
https://www.sagemusic.co/,1000000,0.9,0.98,1,0.56
https://news.rik.cy/,1000000,0.68,0.69,0.92,0.74
https://usedcars.motopfohe.bg/,1000000,0.76,0.61,1,0.74
https://www.ncvo.org.uk/,1000000,0.85,0.5,0.83,0.96
https://rpro.by/,1000000,0.74,0.54,0.92,0.74
https://jalisco.gob.mx/,1000000,0.84,,0.82,0.93
https://borgarsogusafn.is/,1000000,0.91,0.53,0.92,1
https://xn--k1aks.xn--p1ai/,1000000,0.84,0.46,1,0.56
https://www.fisiocrem.es/,1000000,0.93,0.59,1,0.78
https://tupuedes.guanajuato.gob.mx/,1000000,0.89,0.85,0.85,0.93
https://www.introtravel.com/,1000000,0.84,0.15,0.77,0.59
https://sportbm.com/,1000000,0.87,0.78,1,1
https://talk.economistfoundation.org/,1000000,0.89,0.72,0.92,0.78
https://www.ynanp.gr/,1000000,,,,
https://www.travera.nu/,1000000,0.89,0.37,0.92,0.52
https://www.arbeitenbeicoolblue.de/,1000000,0.72,0.49,0.92,0.74
https://www.sleepoutfitters.com/,1000000,0.88,0.58,0.77,0.7
https://www.agsa.sa.gov.au/,1000000,0.89,0.6,0.92,0.74
https://www.welab.bank/,1000000,0.8,0.34,0.85,0.78
https://www.making.unsw.edu.au/,1000000,0.88,0.76,0.82,0.93
https://fazua.com/,1000000,0.85,0.56,0.91,1
https://www.ripe.net/,1000000,0.96,0.96,1,1
https://panama.casabat.com/,1000000,0.72,0.37,0.85,0.74
https://komnatakultury.ru/,1000000,0.76,,0.92,0.78
https://happy-science.jp/,1000000,0.68,0.67,0.91,0.78
https://avarda.com/,1000000,0.91,0.64,0.83,0.59
https://soberhousedirectory.com/,1000000,0.94,0.67,0.85,0.78
https://citas.jalisco.gob.mx/,1000000,0.89,0.35,0.92,1
https://whiskas.ru/,1000000,0.92,0.6,1,0.74
https://www.maison21g.com/,1000000,0.89,0.03,0.92,0.74
https://about.hse.ie/,1000000,0.98,0.96,1,1
https://www.fxpesa.com/,1000000,0.88,0.78,1,0.56
https://www.mcfarlaneaviation.com/,1000000,0.76,0.77,0.75,0.7
https://xn--b1afab9anqfdfg9c.xn--p1ai/,1000000,0.79,0.37,0.92,0.59
https://center-rog.si/,1000000,0.83,0.59,0.82,1
https://www.musicabrasilis.org.br/,1000000,0.82,0.59,1,0.78
https://www.reformatus.hu/,1000000,0.87,0.39,0.92,0.78
