Area,ISO 3 code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change,rn
Nigeria,NGA,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,495.74,-14.52,-2.85,1
Niue,NIU,2023,Country or economy,Oceania,Oceania,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,,,,1
North America,,2024,Region,,,,,,,,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,358.62,-5.61,-1.54,1
North Macedonia,MKD,2025,Country or economy,Europe,Europe,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,441.35,-68.95,-13.51,1
Norway,NOR,2025,Country or economy,Europe,Europe,0.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,28.11,-1.55,-5.23,1
OECD,,2024,Region,,,,,,,,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,337.42,-11.55,-3.31,1
Oceania,,2024,Region,,,,,,,,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,494.85,0.88,0.18,1
Oman,OMN,2024,Country or economy,Asia,Middle East,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,542.77,0.33,0.06,1
Pakistan,PAK,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,373.69,-27.6,-6.88,1
"Palestine, State of",PSE,2024,Country or economy,Asia,Middle East,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,414.14,-9.39,-2.22,1
Panama,PAN,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,221.15,-45.06,-16.93,1
Papua New Guinea,PNG,2024,Country or economy,Oceania,Oceania,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,513.74,0.0,0.0,1
Paraguay,PRY,2024,Country or economy,South America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,24.76,0.25,1.02,1
Peru,PER,2024,Country or economy,South America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,258.73,-33.04,-11.32,1
Philippines (the),PHL,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,621.73,5.61,0.91,1
Poland,POL,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,588.6,-19.58,-3.22,1
Portugal,PRT,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,127.91,17.27,15.61,1
Puerto Rico,PRI,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,656.0,-4.3,-0.65,1
Qatar,QAT,2024,Country or economy,Asia,Middle East,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,581.69,-2.56,-0.44,1
Reunion,REU,2023,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,394.14,-89.52,-18.51,1
Romania,ROU,2025,Country or economy,Europe,Europe,1.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,250.75,-0.58,-0.23,1
