pre_release,version,downloads_count
7.1,5.0.3,44
7.1,5.0.2,248
7.1,5.0.1,262
7.1,5.0,240
7.1,4.2rc1,26
7.1,4.2.4,1836
7.1,4.2.3,193
7.1,4.2.2,125
7.1,4.2.1,192
7.1,4.2,283
7.1,4.1rc1,14
7.1,4.1.9,3798
7.1,4.1.8,50
7.1,4.1.7,63
7.1,4.1.6,113
7.1,4.1.5,81
7.1,4.1.4,122
7.1,4.1.3,103
7.1,4.1.2,82
7.1,4.1.1,1230
7.1,4.1,248
7.1,4.0rc2,21
7.1,4.0rc1,24
7.1,4.0.4,2314
7.1,4.0.3,43
7.1,4.0.2,67
7.1,4.0.1,76
7.1,4.0,172
7.1,3.0rc3,33
7.1,3.0rc2,13
7.1,3.0rc1,13
7.1,3.0.3,1994
7.1,3.0.2,75
7.1,3.0.1,127
7.1,3.0,156
7.1,2.9rc1,17
7.1,2.9.3,123
7.1,2.9.2,29
7.1,2.9.1,28
7.1,2.9,147
7.1,2.8rc1,13
7.1,2.8.2,134
7.1,2.8.1,40
7.1,2.8,50
7.1,2.7rc2,13
7.1,2.7rc1,15
7.1,2.7.4,136
7.1,2.7.3,38
7.1,2.7.2,53
7.1,2.7.1,67
7.1,2.7,169
7.1,2.6rc1,13
7.1,2.6.3,113
7.1,2.6.2,34
7.1,2.6.1,27
7.1,2.6,43
7.1,2.5rc1,13
7.1,2.5.2,51
7.1,2.5.1,34
7.1,2.5,63
7.1,2.4rc1,13
7.1,2.4,50
7.1,2.3rc2,13
7.1,2.3rc1,15
7.1,2.3,77
7.1,2.2rc2,13
7.1,2.2rc1,14
7.1,2.2.2,69
7.1,2.2.1,163
7.1,2.2,40
7.1,2.1rc2,14
7.1,2.1rc1,14
7.1,2.16rc2,16
7.1,2.16rc1,27
7.1,2.16.3,1620
7.1,2.16.2,249
7.1,2.16.1,185
7.1,2.16,107
7.1,2.15rc2,13
7.1,2.15rc1,13
7.1,2.15.6,520
7.1,2.15.5,162
7.1,2.15.4,180
7.1,2.15.3,107
7.1,2.15.2,182
7.1,2.15.1,861
7.1,2.15,181
7.1,2.14rc1,13
7.1,2.14.2,5984
7.1,2.14.1,669
7.1,2.14,162
7.1,2.13rc3,15
7.1,2.13rc2,13
7.1,2.13rc1,14
7.1,2.13.5,3375
7.1,2.13.4,117
7.1,2.13.3,75
7.1,2.13.2,97
7.1,2.13.1,79
7.1,2.13,109
7.1,2.12rc1,14
7.1,2.12.6,514
7.1,2.12.5,81
7.1,2.12.4,128
7.1,2.12.3,78
7.1,2.12.2,151
7.1,2.12.1,75
7.1,2.12,270
7.1,2.11rc1,13
7.1,2.11.9,661
7.1,2.11.8,72
7.1,2.11.7,100
7.1,2.11.6,79
7.1,2.11.5,59
7.1,2.11.4,60
7.1,2.11.3,116
7.1,2.11.2,94
7.1,2.11.1,248
7.1,2.11,94
7.1,2.10rc2,13
7.1,2.10rc1,14
7.1,2.10.2,993
7.1,2.10.1,69
7.1,2.10,61
7.1,2.1.3,40
7.1,2.1.2,38
7.1,2.1.1,39
7.1,2.1,44
7.1,2.0rc1,16
7.1,2.0b1,26
7.1,2.0.2,43
7.1,2.0.1,81
7.1,2.0,52
7.1,1.9rc1,13
7.1,1.9.1,49
7.1,1.9,29
7.1,1.8rc1,13
7.1,1.8.2,183
7.1,1.8.1,23
7.1,1.8,34
7.1,1.7rc1,17
7.1,1.7,25
7.1,1.6rc1,13
7.1,1.6.3,24
7.1,1.6.2,46
7.1,1.6.1,24
7.1,1.6,23
7.1,1.5rc1,13
7.1,1.5.3,34
7.1,1.5.2,46
7.1,1.5.1,23
7.1,1.5,23
7.1,1.4rc1,16
7.1,1.4.6,23
7.1,1.4.5,23
7.1,1.4.4,25
7.1,1.4.3,57
7.1,1.4.2,23
7.1,1.4.1,23
7.1,1.4,23
7.1,1.3rc1,14
7.1,1.3.1,47
7.1,1.3,24
7.1,1.2rc1,14
7.1,1.2,69
7.1,1.1rc1,14
7.1,1.13rc1,14
7.1,1.13.4,215
7.1,1.13.3,29
7.1,1.13.2,30
7.1,1.13.1,50
7.1,1.13,75
7.1,1.12rc1,13
7.1,1.12.6,25
7.1,1.12.5,23
7.1,1.12.4,23
7.1,1.12.3,23
7.1,1.12.2,23
7.1,1.12.1,23
7.1,1.12,23
7.1,1.11rc1,13
7.1,1.11.1,114
7.1,1.11,37
7.1,1.10rc1,13
7.1,1.10.1,39
7.1,1.10,32
7.1,1.1,23
7.1,1.0rc2,14
7.1,1.0rc1,17
7.1,1.0b2,21
7.1,1.0b1,7
7.1,1.0,88
7.1,0.8.9,23
7.1,0.8.8,24
7.1,0.8.7,16
7.1,0.8.6,16
7.1,0.8.5,16
7.1,0.8.4,16
7.1,0.8.3,16
7.1,0.8.2,16
7.1,0.8.10,23
7.1,0.8.1,17
7.1,0.8,17
7.1,0.7,17
7.1,0.6,16
7.1,0.5,16
7.1,0.4.1,16
7.1,0.4,16
7.1,0.3.1,16
7.1,0.3,16
7.1,0.2,20
7.1,0.1,16
7.0,7.0rc1,674
7.0,6.4rc1,12
7.0,6.4.1,30152
7.0,6.4,2946
7.0,6.3rc2,11
7.0,6.3rc1,17
7.0,6.3.4,5651
7.0,6.3.3,4224
7.0,6.3.2,4781
7.0,6.3.1,5365
7.0,6.3,4536
7.0,6.2rc1,17
7.0,6.2.3,2407
7.0,6.2.2,4295
7.0,6.2.1,1753
7.0,6.2,851
7.0,6.1rc2,11
7.0,6.1rc1,13
7.0,6.1.3,1875
7.0,6.1.2,827
7.0,6.1.1,610
7.0,6.1,271
7.0,6.0rc1,10
7.0,6.0.6,1231
7.0,6.0.5,82
7.0,6.0.4,83
7.0,6.0.3,179
7.0,6.0.2,457
7.0,6.0.1,1400
7.0,6,266
7.0,5.2rc1,13
7.0,5.2.8,6121
7.0,5.2.7,1106
7.0,5.2.6,2105
7.0,5.2.5,1279
7.0,5.2.4,243
7.0,5.2.3,705
7.0,5.2.2,949
7.0,5.2.1,182
7.0,5.2,584
