month,installer,ci,num_downloads
2024-10-01 00:00:00.000000 UTC,OS,,66
2024-10-01 00:00:00.000000 UTC,devpi,,7
2024-10-01 00:00:00.000000 UTC,Artifactory,,1
2024-11-01 00:00:00.000000 UTC,pip,,138475
2024-11-01 00:00:00.000000 UTC,pip,true,62745
2024-11-01 00:00:00.000000 UTC,poetry,,30466
2024-11-01 00:00:00.000000 UTC,uv,true,15346
2024-11-01 00:00:00.000000 UTC,uv,,11708
2024-11-01 00:00:00.000000 UTC,requests,,10247
2024-11-01 00:00:00.000000 UTC,bandersnatch,,6264
2024-11-01 00:00:00.000000 UTC,,,4239
2024-11-01 00:00:00.000000 UTC,Browser,,2206
2024-11-01 00:00:00.000000 UTC,Nexus,,1171
2024-11-01 00:00:00.000000 UTC,devpi,,195
2024-11-01 00:00:00.000000 UTC,pdm,,138
2024-11-01 00:00:00.000000 UTC,OS,,72
2024-11-01 00:00:00.000000 UTC,conda,,11
2024-12-01 00:00:00.000000 UTC,pip,,121501
2024-12-01 00:00:00.000000 UTC,pip,true,45024
2024-12-01 00:00:00.000000 UTC,poetry,,24038
2024-12-01 00:00:00.000000 UTC,uv,true,12280
2024-12-01 00:00:00.000000 UTC,uv,,9581
2024-12-01 00:00:00.000000 UTC,requests,,7440
2024-12-01 00:00:00.000000 UTC,bandersnatch,,4968
2024-12-01 00:00:00.000000 UTC,,,1165
2024-12-01 00:00:00.000000 UTC,Nexus,,961
2024-12-01 00:00:00.000000 UTC,Browser,,507
2024-12-01 00:00:00.000000 UTC,pdm,,68
2024-12-01 00:00:00.000000 UTC,OS,,19
2024-12-01 00:00:00.000000 UTC,devpi,,7
2024-12-01 00:00:00.000000 UTC,conda,,3
2025-01-01 00:00:00.000000 UTC,pip,,135939
2025-01-01 00:00:00.000000 UTC,pip,true,53512
2025-01-01 00:00:00.000000 UTC,poetry,,31884
2025-01-01 00:00:00.000000 UTC,uv,true,21135
2025-01-01 00:00:00.000000 UTC,uv,,16007
2025-01-01 00:00:00.000000 UTC,requests,,13798
2025-01-01 00:00:00.000000 UTC,bandersnatch,,2742
2025-01-01 00:00:00.000000 UTC,,,2384
2025-01-01 00:00:00.000000 UTC,Browser,,1151
2025-01-01 00:00:00.000000 UTC,Nexus,,1058
2025-01-01 00:00:00.000000 UTC,devpi,,272
2025-01-01 00:00:00.000000 UTC,OS,,55
2025-01-01 00:00:00.000000 UTC,pdm,,19
2025-01-01 00:00:00.000000 UTC,conda,,2
2025-02-01 00:00:00.000000 UTC,pip,,154371
2025-02-01 00:00:00.000000 UTC,pip,true,47496
2025-02-01 00:00:00.000000 UTC,uv,true,31761
2025-02-01 00:00:00.000000 UTC,poetry,,30467
2025-02-01 00:00:00.000000 UTC,uv,,23807
2025-02-01 00:00:00.000000 UTC,requests,,5952
2025-02-01 00:00:00.000000 UTC,bandersnatch,,5949
2025-02-01 00:00:00.000000 UTC,,,2691
2025-02-01 00:00:00.000000 UTC,Browser,,816
2025-02-01 00:00:00.000000 UTC,Nexus,,668
2025-02-01 00:00:00.000000 UTC,devpi,,174
2025-02-01 00:00:00.000000 UTC,pdm,,51
2025-02-01 00:00:00.000000 UTC,OS,,40
2025-02-01 00:00:00.000000 UTC,conda,,9
2025-03-01 00:00:00.000000 UTC,pip,,181872
2025-03-01 00:00:00.000000 UTC,pip,true,46484
2025-03-01 00:00:00.000000 UTC,uv,true,33403
2025-03-01 00:00:00.000000 UTC,poetry,,30363
2025-03-01 00:00:00.000000 UTC,uv,,19728
2025-03-01 00:00:00.000000 UTC,requests,,7320
2025-03-01 00:00:00.000000 UTC,bandersnatch,,3996
2025-03-01 00:00:00.000000 UTC,,,1542
2025-03-01 00:00:00.000000 UTC,Browser,,1009
2025-03-01 00:00:00.000000 UTC,Nexus,,611
2025-03-01 00:00:00.000000 UTC,pdm,,42
2025-03-01 00:00:00.000000 UTC,OS,,41
2025-03-01 00:00:00.000000 UTC,devpi,,40
2025-03-01 00:00:00.000000 UTC,setuptools,,1
2025-04-01 00:00:00.000000 UTC,pip,,149549
2025-04-01 00:00:00.000000 UTC,pip,true,48473
2025-04-01 00:00:00.000000 UTC,uv,true,45396
2025-04-01 00:00:00.000000 UTC,poetry,,31490
2025-04-01 00:00:00.000000 UTC,uv,,25100
2025-04-01 00:00:00.000000 UTC,requests,,8016
2025-04-01 00:00:00.000000 UTC,bandersnatch,,5624
2025-04-01 00:00:00.000000 UTC,,,1724
2025-04-01 00:00:00.000000 UTC,Browser,,1097
2025-04-01 00:00:00.000000 UTC,Nexus,,435
2025-04-01 00:00:00.000000 UTC,pdm,,112
2025-04-01 00:00:00.000000 UTC,OS,,25
2025-04-01 00:00:00.000000 UTC,devpi,,10
2025-04-01 00:00:00.000000 UTC,setuptools,,1
2025-05-01 00:00:00.000000 UTC,pip,,220545
2025-05-01 00:00:00.000000 UTC,pip,true,57061
2025-05-01 00:00:00.000000 UTC,uv,true,40274
2025-05-01 00:00:00.000000 UTC,poetry,,29748
2025-05-01 00:00:00.000000 UTC,uv,,24546
2025-05-01 00:00:00.000000 UTC,requests,,6867
2025-05-01 00:00:00.000000 UTC,bandersnatch,,3178
2025-05-01 00:00:00.000000 UTC,,,2124
2025-05-01 00:00:00.000000 UTC,Browser,,1053
